"Country Name,""Country Code"",""2021"","
"Austria,""AUT"",""53637.7057109897"","
"Germany,""DEU"",""51203.5544731043"","
"Spain,""ESP"",""30103.513733191"","
"France,""FRA"",""43658.9789781222"","
"United Kingdom,""GBR"",""46510.2827819127"","
"United States,""USA"",""70248.6290002242"","
